"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled","subrule_of","go_to_rule","req_screen_off","req_charging","req_silent","req_do_not_disturb","req_car_mode","prev_rule_timeout","priority_alert","probability","package_names"
"credit:\n\n- created by its tamz\n- with help from zeroz04n","none","Hapus aja","single","","","c","","","","","0","","","","","","","","seconds","0","1","","",,,,,,,,,
"*","none","*Maaf Komen* [%message%] *Tidak Tersedia di Dalam Menu.*\n*Ketik* _#menu_ *Untuk Menampilkan Menu Yang Tersedia.*","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"thanks to di menu jangan dihapus!!!","none","buat wm:v","single","","","c","","","","","0","","","","","","","","seconds","0","1","","",,,,,,,,,
"#menu,#help,#?","none","*卍 TWNTYSVN BOT 卍*\n\nHai, kawan!\n\nBerikut adalah Beberapa Fitur Yang ada Pada Bot Ini!✨\n\n⏰Jam - %hour_of_day% : %minute% : 04 %am/pm% WIB\n📆Tanggal - %day_of_week%, %day_of_month% %month_name% %year%\n\n\n✘ ▬▬▬▬ ஜ۩۞۩ஜ ▬▬▬▬ ✘\n➜ • • *_TWNTYSVN BOT_*\n➜ • 4.0.X\n➜ • OWNER - *_Its Tamz_*\n➜ • No. - wa.me/6282211224927\n➜ • _Bot Lawak gan jangan baper_\n➜ • *_#asalmulagembul_* dibaca gan :v\n➜ • Total komen/perintah - _470_\n✘ ▬▬▬▬ ஜ۩۞۩ஜ ▬▬▬▬ ✘\n\n\n• ```Baca Dulu Baby Baru Make.!!!```\n• ```Duduk Sama Rata Berdiri Tanpa Raja.```\n• ```Not Famous But Trusted.!!!```\n• ```Berkarya Tanpa Koding:v```\n• ```INGIN MEMBAHAGIAKAN ORANG TUA```\n\n\n✘ ▬▬▬▬  *NOTE*  ▬▬▬▬ ✘\n➜ *⟨Spam - blok⟩*\n➜ *⟨Bantu Donasi⟩*\n➜ *⟨Telp / VC - blok⟩*\n➜ *⟨Bot Aktif 24 Jam⟩*\n➜ *⟨Kasih Jeda 7 detik⟩*\n➜ *⟨No Maker,No Media⟩*\n• _‹Cari Bot lain Aja›_\n➜ *⟨Jangan Main add bot⟩*\n➜ *⟨Gunakan Dengan Bijak⟩*\n➜ *⟨Eror Harap Chat Owner⟩*\n➜ *⟨Jangan Membandingkan Bot Ini⟩*\n➜ *⟨Klo Jelek&Gaguna Gausah dipake⟩*\n➜ *⟨Orang Baperan Dilarang Make⟩*\n✘ ▬▬▬▬ ஜ۩۞۩ஜ ▬▬▬▬ ✘\n\n\n       ```IKLAN BOT GEMBUL```\n▬▭▬▭▬▭▬▭▬▭▬▭▬\n*Katalog TWNTYSVN BOT* https://wa.me/c/6285759022133\n\n*Official BOT WhatsApp↓↓↓*\nhttps://chat.whatsapp.com/GJi5NTBuVQuIWMSng5bNXH\n▬▭▬▭▬▭▬▭▬▭▬▭▬\n\n\n✘ ▬▬▬▬ ஜ۩۞۩ஜ ▬▬▬▬ ✘\n               *_List Command_*\n✘ ▬▬▬▬ ஜ۩۞۩ஜ ▬▬▬▬ ✘\n\n*Prefix - #*\n*<string> diisi dengan text tanpa tanda '<' dan '>'.*\n```Bedakan antara tanda (‹›) dan(<>)```\n\n╭────『 *Main* 』\n│➜ *cekprefix*\n│➜ *#menu*\n│➜ *#help*\n│➜ *#?*\n╰───────────────────\n\n╭────『 *Info BOT* 』\n│➜ *#donasi*\n│➜ *#speed*\n│➜ *#tes* ‹cek on/off›\n│➜ *#tnc* ‹informasi›\n│➜ *#join* <link grup>\n│➜ *#iklan*\n│➜ *#asalmulagembul*\n│➜ *#bugreport* <text>\n│➜ *#owner* ‹Pembuat Script ini!›\n╰───────────────────\n\n╭────『 *Kerang Ajaib* 』\n│➜ *#apakah* <query>\n│➜ *#bisakah* <query>\n│➜ *#kapankah* <query>\n╰───────────────────\n\n╭────『 *Anime* 』\n│➜ *#loli* ‹rekomen›\n│➜ *#shota* _‹coming soon›_\n│➜ *#waifu* ‹rekomen›\n│➜ *#husbu* ‹rekomen›\n│➜ *#genre*\n│➜ *#game*\n│➜ *#rekomen*\n│➜ *#nuclear* ‹code›\n│➜ *#redeem* ‹code›\n│➜ *#nekopoi* ‹apk›\n│➜ *#hentai* ‹apk›\n│➜ *#anime* <query>\n│➜ *#anime random*\n╰───────────────────\n\n╭────『 *Editing* 』\n│➜ *#apkinfo*\n│➜ *#apkmod*\n│➜ *#nilai*\n│ • _kirim foto/video kasih caption *""#nilai""*_\n╰───────────────────\n\n╭────『 *Fun & Game* 』\n│➜ *#suit* <b/g/k>\n│➜ *#dadu*\n│➜ *#koin* _‹coming soon›_\n│➜ *#putar*\n│➜ *#dompet* ‹cek uang›\n│➜ *#cheat GTA*\n│\n│  ```Menu Group```\n│➜ *#slep* <@user>\n│➜ *#fitnah* <@user>\n╰───────────────────\n\n╭────『 *Random Text* 』\n│➜ *#puisi*\n│➜ *#fakta*\n╰───────────────────\n\n╭────『 *Islam Menu* 』\n│➜ *#jadwalsholat* ‹jam sholat›\n│➜ *#listsurah* ‹daftar Al-Qur'an›\n╰───────────────────\n\n╭────『 *Edukasi* 』\n│ ```Script Termux```\n│➜ *#sc spam*\n│➜ *#sc hack facebook*\n│➜ *#sc hack instagram*\n│➜ *#sc play msc*\n│➜ *#sc play yt*\n│\n│ ```Tentang teknologi```\n│➜ *#tempat ancaman jaringan*\n│➜ *#cara hack melakukan deface*\n│➜ *#mengatasi resolusi kinemaster*\n╰───────────────────\n\n╭────『 *RESPON BOT* 』\n│  ```Hanya untuk grup!```\n│➜ iri\n│➜ ara\n│➜ bernyanyi\n│➜ telat\n│➜ yamete\n│➜ sad\n│➜ nyimak\n│➜ tolol\n│➜ bye\n│➜ p\n│➜ yosh\n│➜ napa\n│➜ intro\n│➜ sepi\n│➜ bot\n│➜ assalamualaikum\n│➜ permisi\n│➜ si gembul\n│➜ goblok\n│➜ ganteng doang\n│  ```Tidak untuk orang baperan!```\n╰───────────────────\n\n╭────『 *Termux Menu* 』\n│➜ *#hammer*\n│➜ *#music*\n│➜ *#redhawk*\n│➜ *#ddos*\n│➜ *#spam1*\n│➜ *#webdav*\n│➜ *#ubuntu*\n│➜ *#toolsx*\n│➜ *#metasploit*\n│➜ *#xerxes*\n│➜ *#katoolin*\n│➜ *#bajinganv6*\n│➜ *#torshammer*\n│➜ *#nethunter*\n│➜ *#hakku*\n│➜ *#hashbuster*\n│➜ *#framework*\n│➜ *#browsing*\n│➜ *#cmatrix*\n│➜ *#kereta*\n│➜ *#hackfb*\n│➜ *#darkfb*\n│➜ *#sadapwa*\n│➜ *#troojan*\n│➜ *#lazymux*\n│➜ *#phising*\n│➜ *#lacaklokasi*\n│➜ *#desaintermux*\n│➜ *#moonbugy*\n│➜ *#spamwa*\n│➜ *#darkig*\n│➜ *#hackig*\n│➜ *#scdeface*\n│➜ *#sqlmap*\n│➜ *#spamcall*\n│➜ *#virus*\n│➜ *#spamtkpd*\n│➜ *#osif*\n╰───────────────────\n\n╭────『 *Other Menu* 』\n│➜ *#apa itu bot*\n│➜ *#apa itu WhatsApp*\n│➜ *#apa itu YouTube*\n│➜ *#apa itu Facebook*\n│➜ *#apa itu manusia*\n│➜ *#apa itu mantan*\n│➜ *#apa itu cinta*\n│➜ *#apa itu Google*\n│➜ *#apa itu ai*\n│➜ *#apa itu joker*\n│➜ *#apa itu badut*\n│➜ *#apa itu lagu*\n│➜ *#apa itu vakum*\n│➜ *#apa itu badword*\n│➜ *#apa itu diabetes*\n│➜ *#apa itu noob*\n│➜ *#apa itu sex*\n│➜ *#apa itu termux*\n│➜ *#apa itu deface*\n│➜ *#apa itu matahari*\n│➜ *#apa itu bumi*\n│➜ *#apa itu ponsel*\n│➜ *#apa itu atom*\n│➜ *#apa itu isp*\n│➜ *#apa itu SQL*\n│➜ *#apa itu phising*\n│➜ *#apa itu ufi box*\n│➜ *#apa itu program python*\n╰───────────────────\n\n╭────『 *Advanced* 』\n│➜ >\n│➜ =>\n╰───────────────────\n\n╭────『 *No Category* 』\n│➜ # <>\n╰───────────────────\n\n╭────『 *THANKS TO* 』\n│➜ Its Tamz (pembuat csv)\n│➜ Zeroz04n\n╰───────────────────\n\nMAU BOT KAYA GINI JUGA? HUBUNGI↓↓↓\nhttps://wa.me/6282211224927?text=Minat\nOnly 40k full fitur, aplikasi, tutorial, design sesuai selera, owner, dan masih banyak lagi!\nNote : via pulsa ⟨Tidak menerima uang⟩\n\n*_SEMOGA MENGHIBUR DAN BERMANFAAT_*\n\n```TWNTYSVN BOT @^%app_version%```\n*Powered by: Its Tamz*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"*prefix*//bot","normal","Gembul is Prefix, 「 *#* 」Prefix adalah tanda sebelum perintah.\nContoh : *_#menu_*\n\n_Note_ : ```Jangan menggunakan simbol² aneh dan perintah yang tidak terdaftar, agar tidak terjadi bug!```","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#donasi","none","Hai, terimakasih telah menggunakan Bot ini, untuk mendukung Bot ini kamu dapat membantu dengan berdonasi dengan cara:\n\nvia pulsa : 0857-5902-2133\nNote : via pulsa ya, bukan uang!😊\n(tidak menerima uang)\n\nDonasi seikhlasnya agar Bot tetap online 24jam dan terjaga, bisa digunakan seperlunya dan jangan berlebihan, karena berlebihan itu serakah ya teman² 10.000 udah cukup buat aktifin Bot makasih atas empati nya!🤗\n\nDoakan agar project Bot ini bisa terus berkembang\nDoakan agar author Bot ini dapat ide-ide yang kreatif lagi.\n\nDukung kami dalam pembuatan Bot Gembul\nAgar lebih terupdate dan tahan lama\nDengan melakukan donasi\n\n*Pembuat Bot:*👇\n*https://wa.me/6282211224927*\n\nDonasi akan digunakan untuk pengembangan dan pengoperasian Bot ini.\n\nDonasi berapapun kami terima semoga berkah dan bermanfaat\n\n```Donasi gak akan membuat miskin kawan:)```\n\n*Terimakasih…*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#speed","none","_Testing speed..._<#>0.000%processing_time%ms","all","2","2","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"tes","none","*_Testing sukses ✓ Bot sedang aktif_*\nKetik *#menu* untuk menampilkan menu!","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#tnc","none","Hi!!👋\nSelamat Datang di Menu TNC.\nBerikut adalah beberapa perintah yang tersedia:\n\n╭────『 *TNC* 』\n│➜ *#info*\n│➜ *#ppn*\n│➜ *#snk*\n│➜ *#status*\n╰───────────────────\nTerima kasih telah menggunakan TWNTYSVN BOT.💓","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#info","none","╭────『 *PROFILE* 』\n│➜ Nama BOT : *TWNTYSVN BOT*\n│➜ Owner BOT : *wa.me/6282211224927*\n│➜ Apakah Bot manusia? : Bot bukan\n│manusia, Tapi penciptanya yg manusia!\n│➜ Cara join grup : Kirim link undangan ke\n│Bot kasih caption *#join* <link grup>\n│➜ Botnya pilih kasih : Bot gak pernah\n│pilih kasih, mungkin pesan tidak terdaftar\n│di dalam menu!\n│➜ NB : Bot gak bisa @/tag orang kirim\n│file, gambar, media / semacamnya hanya\n│untuk merespon pesan saja!\n╰───────────────────\n\nNote: script ini tidak dijual belikan, mau beli? 40k (pulsa no uang), mahal? Full fitur ngab, ng🧠!\n\nSpesial Thanks to:❤️\n➜ Allah SWT.\n➜ Zero Z Four To N (Mentor)\n➜ Hasan Gans\nDll.","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
